 # t-STEP 	 e 	 m
 29903 	 -1.964848 	 -0.990984 	 -1.963472 	 0.990592 	 -0.137888 	 -0.002248
 32894 	 -1.961088 	 -0.989984 	 -1.959600 	 0.989552 	 -0.149536 	 -0.002328
 36184 	 -1.957616 	 -0.989064 	 -1.955568 	 0.988496 	 -0.162208 	 -0.002400
 39803 	 -1.953744 	 -0.988032 	 -1.951488 	 0.987392 	 -0.176032 	 -0.003400
 43784 	 -1.948912 	 -0.986720 	 -1.946496 	 0.986064 	 -0.190864 	 -0.003696
 48163 	 -1.943456 	 -0.985272 	 -1.941152 	 0.984584 	 -0.205696 	 -0.003432
 52980 	 -1.937808 	 -0.983744 	 -1.935008 	 0.982952 	 -0.221824 	 -0.004016
 58279 	 -1.931664 	 -0.982120 	 -1.929728 	 0.981464 	 -0.239312 	 -0.003536
 64107 	 -1.926240 	 -0.980608 	 -1.923440 	 0.979792 	 -0.257760 	 -0.003368
 70518 	 -1.919632 	 -0.978808 	 -1.916912 	 0.977984 	 -0.276240 	 -0.003392
 77570 	 -1.912576 	 -0.976840 	 -1.910384 	 0.976136 	 -0.295456 	 -0.003056
 85328 	 -1.903808 	 -0.974400 	 -1.902160 	 0.973816 	 -0.317328 	 -0.002856
 93861 	 -1.895088 	 -0.971920 	 -1.894032 	 0.971512 	 -0.338400 	 -0.002952
 103248 	 -1.886064 	 -0.969352 	 -1.885152 	 0.968952 	 -0.360880 	 -0.002536
 113573 	 -1.876944 	 -0.966616 	 -1.876880 	 0.966568 	 -0.383904 	 -0.002104
 124931 	 -1.867840 	 -0.963984 	 -1.867008 	 0.963720 	 -0.407584 	 -0.002176
 137425 	 -1.856336 	 -0.960656 	 -1.855472 	 0.960288 	 -0.430608 	 -0.001680
 151168 	 -1.844576 	 -0.957184 	 -1.842912 	 0.956392 	 -0.453792 	 -0.002640
 166285 	 -1.831024 	 -0.953176 	 -1.830512 	 0.952608 	 -0.479600 	 -0.002360
 182914 	 -1.818032 	 -0.949040 	 -1.817424 	 0.948656 	 -0.505936 	 -0.002544
 201206 	 -1.804768 	 -0.944856 	 -1.804880 	 0.944608 	 -0.532800 	 -0.001064
 221327 	 -1.789184 	 -0.939576 	 -1.790128 	 0.939920 	 -0.558736 	 -0.001512
 243460 	 -1.773968 	 -0.934464 	 -1.774112 	 0.934760 	 -0.586848 	 -0.002496
 267807 	 -1.755312 	 -0.928128 	 -1.759408 	 0.929680 	 -0.612640 	 -0.001888
 294588 	 -1.736176 	 -0.921752 	 -1.743616 	 0.924320 	 -0.638816 	 -0.002120
 324047 	 -1.718592 	 -0.915528 	 -1.724976 	 0.917696 	 -0.663520 	 -0.002920
 356452 	 -1.699712 	 -0.908512 	 -1.707968 	 0.911160 	 -0.689392 	 -0.002008
 392098 	 -1.679904 	 -0.900728 	 -1.689008 	 0.904176 	 -0.713344 	 -0.003024
 431308 	 -1.663264 	 -0.894016 	 -1.670512 	 0.896544 	 -0.737120 	 -0.004032
 474439 	 -1.646896 	 -0.887200 	 -1.651424 	 0.889528 	 -0.758176 	 -0.005024
 521883 	 -1.627152 	 -0.878944 	 -1.633504 	 0.882432 	 -0.782464 	 -0.005192
 574072 	 -1.608064 	 -0.871808 	 -1.614416 	 0.874464 	 -0.802832 	 -0.007104
 631480 	 -1.591024 	 -0.864632 	 -1.592528 	 0.864856 	 -0.823712 	 -0.008040
 694629 	 -1.573088 	 -0.855872 	 -1.574272 	 0.856760 	 -0.844512 	 -0.008472
 764092 	 -1.554896 	 -0.847472 	 -1.556496 	 0.848072 	 -0.861312 	 -0.009032
 840502 	 -1.538048 	 -0.839632 	 -1.538608 	 0.838808 	 -0.883760 	 -0.009496
 924553 	 -1.519584 	 -0.829040 	 -1.517536 	 0.828992 	 -0.895536 	 -0.008920
 1017009 	 -1.499936 	 -0.817456 	 -1.497968 	 0.818592 	 -0.913328 	 -0.008176
 1118710 	 -1.483488 	 -0.808760 	 -1.479568 	 0.808400 	 -0.928192 	 -0.006288
 1230582 	 -1.464896 	 -0.798256 	 -1.454816 	 0.795504 	 -0.939520 	 -0.004496
 1353641 	 -1.446128 	 -0.788400 	 -1.440336 	 0.786432 	 -0.959536 	 -0.004384
 1489006 	 -1.430928 	 -0.777496 	 -1.419728 	 0.773584 	 -0.976640 	 -0.005896
 1637907 	 -1.416096 	 -0.767280 	 -1.408352 	 0.764736 	 -0.991808 	 -0.008632
 1801698 	 -1.400688 	 -0.755752 	 -1.393104 	 0.754072 	 -1.001408 	 -0.008128
 1981868 	 -1.376912 	 -0.740936 	 -1.371504 	 0.739736 	 -1.005728 	 -0.009040
 2180055 	 -1.359104 	 -0.727032 	 -1.360608 	 0.727536 	 -1.019136 	 -0.010240
 2398061 	 -1.348832 	 -0.716888 	 -1.348112 	 0.716920 	 -1.026272 	 -0.011384
 2637868 	 -1.338160 	 -0.704576 	 -1.333968 	 0.703056 	 -1.033456 	 -0.006448
 2901655 	 -1.324192 	 -0.693304 	 -1.325712 	 0.689376 	 -1.043248 	 -0.007184
